Year,Quarter,Area,qNo,Fleet,Index,lt,CV,Name
1965,3,6,1,3,0.274621148,0,0.41,SPN_BB
1966,3,6,1,3,0.418811947,0,0.421,SPN_BB
1967,3,6,1,3,0.41496094,0,0.414,SPN_BB
1968,3,6,1,3,0.536261644,0,0.422,SPN_BB
1969,3,6,1,3,0.732555001,0,0.401,SPN_BB
1970,3,6,1,3,0.713407941,0,0.431,SPN_BB
1971,3,6,1,3,0.893421497,0,0.403,SPN_BB
1972,3,6,1,3,0.630593307,0,0.413,SPN_BB
1973,3,6,1,3,0.642590212,0,0.396,SPN_BB
1974,3,6,1,3,0.294392047,0,0.439,SPN_BB
1975,3,6,1,3,0.580914124,0,0.41,SPN_BB
1976,3,6,1,3,0.580602205,0,0.414,SPN_BB
1977,3,6,1,3,0.656902519,0,0.407,SPN_BB
1978,3,6,1,3,0.846093708,0,0.412,SPN_BB
1979,3,6,1,3,0.747419166,0,0.409,SPN_BB
1980,3,6,1,3,0.761575514,0,0.446,SPN_BB
1981,3,6,1,3,0.61263394,0,0.422,SPN_BB
1982,3,6,1,3,0.60438007,0,0.418,SPN_BB
1983,3,6,1,3,0.749974507,0,0.432,SPN_BB
1984,3,6,1,3,0.397949329,0,0.449,SPN_BB
1985,3,6,1,3,1.350539561,0,0.407,SPN_BB
1986,3,6,1,3,0.901219485,0,0.419,SPN_BB
1987,3,6,1,3,1.209803871,0,0.415,SPN_BB
1988,3,6,1,3,1.673184318,0,0.419,SPN_BB
1989,3,6,1,3,1.542322081,0,0.4,SPN_BB
1990,3,6,1,3,1.183506655,0,0.407,SPN_BB
1991,3,6,1,3,1.08116106,0,0.422,SPN_BB
1992,3,6,1,3,0.833976834,0,0.427,SPN_BB
1993,3,6,1,3,2.511612004,0,0.403,SPN_BB
1994,3,6,1,3,1.208124304,0,0.419,SPN_BB
1995,3,6,1,3,1.482709461,0,0.405,SPN_BB
1996,3,6,1,3,2.086609655,0,0.398,SPN_BB
1997,3,6,1,3,2.694996691,0,0.404,SPN_BB
1998,3,6,1,3,1.055139774,0,0.409,SPN_BB
1999,3,6,1,3,0.407618834,0,0.436,SPN_BB
2000,3,6,1,3,1.152230724,0,0.402,SPN_BB
2001,3,6,1,3,0.845169946,0,0.447,SPN_BB
2002,3,6,1,3,0.82469123,0,0.423,SPN_BB
2003,3,6,1,3,0.533754291,0,0.482,SPN_BB
2004,3,6,1,3,1.452177338,0,0.417,SPN_BB
2005,3,6,1,3,2.859546237,0,0.4,SPN_BB
2006,3,6,1,3,1.01984488,0,0.48,SPN_BB
2007,3,6,2,4,1.181926799,0,0.3123,SPN_FR_BB
2008,3,6,2,4,1.167847658,0,0.3018,SPN_FR_BB
2009,3,6,2,4,0.517979197,0,0.3032,SPN_FR_BB
2010,3,6,2,4,1.152766039,0,0.3066,SPN_FR_BB
2011,3,6,2,4,1.510208052,0,0.3043,SPN_FR_BB
2012,3,6,2,4,1.25078599,0,0.3866,SPN_FR_BB
2013,3,6,2,4,0.850737332,0,0.4425,SPN_FR_BB
2014,3,6,2,4,0.367748934,0,0.4114,SPN_FR_BB
1981,2,4,3,12,1.03771183,0,0.5719,MOR_SPN_TRAP
1982,2,4,3,12,1.402037333,0,0.3463,MOR_SPN_TRAP
1983,2,4,3,12,1.474872721,0,0.3463,MOR_SPN_TRAP
1984,2,4,3,12,1.621029697,0,0.3463,MOR_SPN_TRAP
1985,2,4,3,12,1.099972379,0,0.3464,MOR_SPN_TRAP
1986,2,4,3,12,0.53256404,0,0.2805,MOR_SPN_TRAP
1987,2,4,3,12,0.585505765,0,0.2805,MOR_SPN_TRAP
1988,2,4,3,12,1.370218276,0,0.2803,MOR_SPN_TRAP
1989,2,4,3,12,0.717752033,0,0.2609,MOR_SPN_TRAP
1990,2,4,3,12,0.829739988,0,0.25,MOR_SPN_TRAP
1991,2,4,3,12,0.983014385,0,0.25,MOR_SPN_TRAP
1992,2,4,3,12,0.424006493,0,0.25,MOR_SPN_TRAP
1993,2,4,3,12,0.439416317,0,0.25,MOR_SPN_TRAP
1994,2,4,3,12,0.461754483,0,0.25,MOR_SPN_TRAP
1995,2,4,3,12,0.301754326,0,0.25,MOR_SPN_TRAP
1996,2,4,3,12,0.506754949,0,0.25,MOR_SPN_TRAP
1997,2,4,3,12,1.3403035,0,0.25,MOR_SPN_TRAP
1998,2,4,3,12,1.249451719,0,0.25,MOR_SPN_TRAP
1999,2,4,3,12,1.536187882,0,0.25,MOR_SPN_TRAP
2000,2,4,3,12,0.998370186,0,0.25,MOR_SPN_TRAP
2001,2,4,3,12,1.734948945,0,0.25,MOR_SPN_TRAP
2002,2,4,3,12,1.526693486,0,0.25,MOR_SPN_TRAP
2003,2,4,3,12,0.89495825,0,0.25,MOR_SPN_TRAP
2004,2,4,3,12,0.448870196,0,0.25,MOR_SPN_TRAP
2005,2,4,3,12,0.914851914,0,0.25,MOR_SPN_TRAP
2006,2,4,3,12,0.856170334,0,0.25,MOR_SPN_TRAP
2007,2,4,3,12,1.351364539,0,0.25,MOR_SPN_TRAP
2008,2,4,3,12,0.856494467,0,0.25,MOR_SPN_TRAP
2009,2,4,3,12,1.184044378,0,0.25,MOR_SPN_TRAP
2010,2,4,3,12,1.407601616,0,0.25,MOR_SPN_TRAP
2011,2,4,3,12,0.911583573,0,0.25,MOR_SPN_TRAP
2012,2,4,4,13,0.665254785,0,0.4906,MOR_POR_TRAP
2013,2,4,4,13,1.432035696,0,0.5436,MOR_POR_TRAP
2014,2,4,4,13,0.784725815,0,0.4978,MOR_POR_TRAP
2015,2,4,4,13,1.082837558,0,0.5394,MOR_POR_TRAP
2016,2,4,4,13,1.035146146,0,0.5343,MOR_POR_TRAP
1975,2,4,5,2,1.287262873,0,0.25,JPN_LL_Eatl_Med
1976,2,4,5,2,1.456639566,0,0.25,JPN_LL_Eatl_Med
1977,2,4,5,2,2.391598916,0,0.25,JPN_LL_Eatl_Med
1978,2,4,5,2,1.016260163,0,0.25,JPN_LL_Eatl_Med
1979,2,4,5,2,1.829268293,0,0.25,JPN_LL_Eatl_Med
1980,2,4,5,2,1.14498645,0,0.25,JPN_LL_Eatl_Med
1981,2,4,5,2,1.104336043,0,0.25,JPN_LL_Eatl_Med
1982,2,4,5,2,2.249322493,0,0.25,JPN_LL_Eatl_Med
1983,2,4,5,2,1.436314363,0,0.25,JPN_LL_Eatl_Med
1984,2,4,5,2,1.097560976,0,0.25,JPN_LL_Eatl_Med
1985,2,4,5,2,1.185636856,0,0.25,JPN_LL_Eatl_Med
1986,2,4,5,2,0.894308943,0,0.25,JPN_LL_Eatl_Med
1987,2,4,5,2,1.463414634,0,0.25,JPN_LL_Eatl_Med
1988,2,4,5,2,0.914634146,0,0.25,JPN_LL_Eatl_Med
1989,2,4,5,2,0.711382114,0,0.25,JPN_LL_Eatl_Med
1990,2,4,5,2,0.955284553,0,0.25,JPN_LL_Eatl_Med
1991,2,4,5,2,0.819783198,0,0.25,JPN_LL_Eatl_Med
1992,2,4,5,2,0.697831978,0,0.25,JPN_LL_Eatl_Med
1993,2,4,5,2,0.704607046,0,0.25,JPN_LL_Eatl_Med
1994,2,4,5,2,0.758807588,0,0.25,JPN_LL_Eatl_Med
1995,2,4,5,2,0.962059621,0,0.25,JPN_LL_Eatl_Med
1996,2,4,5,2,0.338753388,0,0.25,JPN_LL_Eatl_Med
1997,2,4,5,2,0.359078591,0,0.25,JPN_LL_Eatl_Med
1998,2,4,5,2,0.48102981,0,0.25,JPN_LL_Eatl_Med
1999,2,4,5,2,0.433604336,0,0.25,JPN_LL_Eatl_Med
2000,2,4,5,2,0.501355014,0,0.25,JPN_LL_Eatl_Med
2001,2,4,5,2,0.650406504,0,0.25,JPN_LL_Eatl_Med
2002,2,4,5,2,1.388888889,0,0.25,JPN_LL_Eatl_Med
2003,2,4,5,2,1.151761518,0,0.25,JPN_LL_Eatl_Med
2004,2,4,5,2,0.555555556,0,0.25,JPN_LL_Eatl_Med
2005,2,4,5,2,0.596205962,0,0.25,JPN_LL_Eatl_Med
2006,2,4,5,2,1.29403794,0,0.25,JPN_LL_Eatl_Med
2007,2,4,5,2,0.636856369,0,0.25,JPN_LL_Eatl_Med
2008,2,4,5,2,0.826558266,0,0.25,JPN_LL_Eatl_Med
2009,2,4,5,2,0.704607046,0,0.25,JPN_LL_Eatl_Med
1990,4,5,6,2,0.43064661,0,0.350610837,JPN_LL_NEAtl1
1991,4,5,6,2,0.488596936,0,0.308837337,JPN_LL_NEAtl1
1992,4,5,6,2,0.80798015,0,0.25,JPN_LL_NEAtl1
1993,4,5,6,2,0.682425283,0,0.25,JPN_LL_NEAtl1
1994,4,5,6,2,0.85683583,0,0.25,JPN_LL_NEAtl1
1995,4,5,6,2,0.898272064,0,0.25,JPN_LL_NEAtl1
1996,4,5,6,2,2.626340486,0,0.25,JPN_LL_NEAtl1
1997,4,5,6,2,1.392954746,0,0.25,JPN_LL_NEAtl1
1998,4,5,6,2,0.804027609,0,0.25,JPN_LL_NEAtl1
1999,4,5,6,2,1.154770574,0,0.25,JPN_LL_NEAtl1
2000,4,5,6,2,0.907177909,0,0.25,JPN_LL_NEAtl1
2001,4,5,6,2,1.68607735,0,0.25,JPN_LL_NEAtl1
2002,4,5,6,2,0.759546773,0,0.25,JPN_LL_NEAtl1
2003,4,5,6,2,1.013418387,0,0.25,JPN_LL_NEAtl1
2004,4,5,6,2,0.779938145,0,0.25,JPN_LL_NEAtl1
2005,4,5,6,2,0.6936688,0,0.25,JPN_LL_NEAtl1
2006,4,5,6,2,0.769710463,0,0.25,JPN_LL_NEAtl1
2007,4,5,6,2,0.779320918,0,0.25,JPN_LL_NEAtl1
2008,4,5,6,2,1.083296268,0,0.25,JPN_LL_NEAtl1
2009,4,5,6,2,1.3849947,0,0.25,JPN_LL_NEAtl1
2010,4,5,7,18,0.374228404,0,0.25,JPN_LL_NEAtl2
2011,4,5,7,18,0.749855229,0,0.259754012,JPN_LL_NEAtl2
2012,4,5,7,18,1.297242262,0,0.305930076,JPN_LL_NEAtl2
2013,4,5,7,18,1.028901543,0,0.263995388,JPN_LL_NEAtl2
2014,4,5,7,18,1.633060394,0,0.299052077,JPN_LL_NEAtl2
2015,4,5,7,18,0.995094757,0,0.299321068,JPN_LL_NEAtl2
2016,4,5,7,18,0.921617411,0,0.283034777,JPN_LL_NEAtl2
1993,3,2,8,15,1.639263804,1,0.25,US_RR_66_114
1994,3,2,8,15,0.314110429,1,0.31,US_RR_66_114
1995,3,2,8,15,1.501840491,1,0.25,US_RR_66_114
1996,3,2,8,15,1.81595092,1,0.25,US_RR_66_114
1997,3,2,8,15,3.484662577,1,0.25,US_RR_66_114
1998,3,2,8,15,1.325153374,1,0.25,US_RR_66_114
1999,3,2,8,15,1.403680982,1,0.26,US_RR_66_114
2000,3,2,8,15,0.991411043,1,0.35,US_RR_66_114
2001,3,2,8,15,0.559509202,1,0.25,US_RR_66_114
2002,3,2,8,15,1.001226994,1,0.25,US_RR_66_114
2003,3,2,8,15,0.618404908,1,0.25,US_RR_66_114
2004,3,2,8,15,2.365644172,1,0.25,US_RR_66_114
2005,3,2,8,15,2.041717791,1,0.25,US_RR_66_114
2006,3,2,8,15,0.539877301,1,0.25,US_RR_66_114
2007,3,2,8,15,0.510429448,1,0.25,US_RR_66_114
2008,3,2,8,15,0.343558282,1,0.25,US_RR_66_114
2009,3,2,8,15,0.284662577,1,0.25,US_RR_66_114
2010,3,2,8,15,0.510429448,1,0.25,US_RR_66_114
2011,3,2,8,15,0.579141104,1,0.25,US_RR_66_114
2012,3,2,8,15,0.461349693,1,0.25,US_RR_66_114
2013,3,2,8,15,0.588957055,1,0.25,US_RR_66_114
2014,3,2,8,15,0.461349693,1,0.25,US_RR_66_114
2015,3,2,8,15,0.314110429,1,0.25,US_RR_66_114
2016,3,2,8,15,0.343558282,1,0.25,US_RR_66_114
1993,3,2,9,15,2.661190965,2,0.25,US_RR_115_144
1994,3,2,9,15,0.581519507,2,0.37,US_RR_115_144
1995,3,2,9,15,1.005338809,2,0.25,US_RR_115_144
1996,3,2,9,15,1.370020534,2,0.25,US_RR_115_144
1997,3,2,9,15,0.216837782,2,0.34,US_RR_115_144
1998,3,2,9,15,0.79835729,2,0.25,US_RR_115_144
1999,3,2,9,15,1.301026694,2,0.31,US_RR_115_144
2000,3,2,9,15,1.025051335,2,0.38,US_RR_115_144
2001,3,2,9,15,2.030390144,2,0.25,US_RR_115_144
2002,3,2,9,15,2.247227926,2,0.25,US_RR_115_144
2003,3,2,9,15,0.808213552,2,0.25,US_RR_115_144
2004,3,2,9,15,0.670225873,2,0.25,US_RR_115_144
2005,3,2,9,15,0.640657084,2,0.25,US_RR_115_144
2006,3,2,9,15,1.094045175,2,0.25,US_RR_115_144
2007,3,2,9,15,0.946201232,2,0.25,US_RR_115_144
2008,3,2,9,15,1.439014374,2,0.25,US_RR_115_144
2009,3,2,9,15,0.344969199,2,0.25,US_RR_115_144
2010,3,2,9,15,1.015195072,2,0.25,US_RR_115_144
2011,3,2,9,15,0.601232033,2,0.25,US_RR_115_144
2012,3,2,9,15,0.561806982,2,0.25,US_RR_115_144
2013,3,2,9,15,1.241889117,2,0.25,US_RR_115_144
2014,3,2,9,15,0.473100616,2,0.25,US_RR_115_144
2015,3,2,9,15,0.216837782,2,0.25,US_RR_115_144
2016,3,2,9,15,0.709650924,2,0.25,US_RR_115_144
1993,3,2,10,16,0.634590377,3,0.25,US_RR_177
1994,3,2,10,16,0.821846554,3,0.25,US_RR_177
1995,3,2,10,16,1.009102731,3,0.25,US_RR_177
1996,3,2,10,16,3.214564369,3,0.25,US_RR_177
1997,3,2,10,16,1.279583875,3,0.25,US_RR_177
1998,3,2,10,16,1.342002601,3,0.25,US_RR_177
1999,3,2,10,16,1.820546164,3,0.25,US_RR_177
2000,3,2,10,16,0.530559168,3,0.25,US_RR_177
2001,3,2,10,16,1.237971391,3,0.25,US_RR_177
2002,3,2,10,16,2.413524057,3,0.25,US_RR_177
2003,3,2,10,16,0.540962289,3,0.25,US_RR_177
2004,3,2,10,16,0.759427828,3,0.25,US_RR_177
2005,3,2,10,16,0.655396619,3,0.25,US_RR_177
2006,3,2,10,16,0.395318596,3,0.26,US_RR_177
2007,3,2,10,16,0.322496749,3,0.25,US_RR_177
2008,3,2,10,16,0.395318596,3,0.25,US_RR_177
