Year,subyear,area,stock,Ino,type,Index,CV,Name
2000,3,7,1,1,4,1.461079889,0.3830688,FR_AER_SUV1
2001,3,7,1,1,4,0.846309698,0.3668574,FR_AER_SUV1
2002,3,7,1,1,4,0.837049788,0.5071345,FR_AER_SUV1
2003,3,7,1,1,4,0.855560625,0.3280085,FR_AER_SUV1
2009,3,7,1,2,4,0.454095486,0.3375509,FR_AER_SUV2
2010,3,7,1,2,4,0.253737125,0.5320275,FR_AER_SUV2
2011,3,7,1,2,4,0.601362231,0.2747206,FR_AER_SUV2
2012,3,7,1,2,4,0.329521075,0.2846413,FR_AER_SUV2
2014,3,7,1,2,4,1.262292201,0.3038968,FR_AER_SUV2
2015,3,7,1,2,4,0.729784277,0.3160994,FR_AER_SUV2
2016,3,7,1,2,4,3.369207605,0.2719389,FR_AER_SUV2
2001,2,7,1,3,2,0.282554487,0.25,MED_LAR_SUV
2002,2,7,1,3,2,0.422212507,0.26073,MED_LAR_SUV
2003,2,7,1,3,2,0.426746332,0.25269,MED_LAR_SUV
2004,2,7,1,3,2,0.388289776,0.25,MED_LAR_SUV
2005,2,7,1,3,2,0.197950063,0.25,MED_LAR_SUV
2012,2,7,1,3,2,1.745441886,0.25,MED_LAR_SUV
2013,2,7,1,3,2,1.635901422,0.25,MED_LAR_SUV
2014,2,7,1,3,2,1.015091162,0.25,MED_LAR_SUV
2015,2,7,1,3,2,2.261974157,0.25,MED_LAR_SUV
2016,2,7,1,3,2,1.623838207,0.25,MED_LAR_SUV
1994,3,3,2,4,5,0.52136007,0.275,CAN_ACO_SUV
1995,3,3,2,4,5,0.681778553,0.25,CAN_ACO_SUV
1996,3,3,2,4,5,1.343504795,0.25,CAN_ACO_SUV
1997,3,3,2,4,5,0.761987794,0.25,CAN_ACO_SUV
1998,3,3,2,4,5,0.842197036,0.25,CAN_ACO_SUV
1999,3,3,2,4,5,0.701830863,0.25,CAN_ACO_SUV
2000,3,3,2,4,5,0.380993897,0.25,CAN_ACO_SUV
2001,3,3,2,4,5,0.741935484,0.25,CAN_ACO_SUV
2002,3,3,2,4,5,0.401046207,0.25,CAN_ACO_SUV
2003,3,3,2,4,5,0.721883173,0.25,CAN_ACO_SUV
